Date,Open,High,Low,Close,Adj Close,Volume
13-07-2020,4.613968,4.915115,4.481499,4.896294,4.896294,28340
14-07-2020,4.909865,5.229564,4.762068,4.986754,4.986754,3957
15-07-2020,null,null,null,null,null,null
16-07-2020,null,null,null,null,null,null
17-07-2020,null,null,null,null,null,null
18-07-2020,null,null,null,null,null,null
19-07-2020,null,null,null,null,null,null
20-07-2020,null,null,null,null,null,null
21-07-2020,null,null,null,null,null,null
22-07-2020,null,null,null,null,null,null
23-07-2020,null,null,null,null,null,null
24-07-2020,null,null,null,null,null,null
25-07-2020,null,null,null,null,null,null
26-07-2020,null,null,null,null,null,null
27-07-2020,null,null,null,null,null,null
28-07-2020,null,null,null,null,null,null
29-07-2020,null,null,null,null,null,null
30-07-2020,null,null,null,null,null,null
31-07-2020,null,null,null,null,null,null
01-08-2020,null,null,null,null,null,null
02-08-2020,null,null,null,null,null,null
03-08-2020,null,null,null,null,null,null
04-08-2020,null,null,null,null,null,null
05-08-2020,null,null,null,null,null,null
06-08-2020,null,null,null,null,null,null
07-08-2020,null,null,null,null,null,null
08-08-2020,null,null,null,null,null,null
09-08-2020,null,null,null,null,null,null
10-08-2020,null,null,null,null,null,null
11-08-2020,null,null,null,null,null,null
12-08-2020,null,null,null,null,null,null
13-08-2020,null,null,null,null,null,null
14-08-2020,null,null,null,null,null,null
15-08-2020,null,null,null,null,null,null
16-08-2020,null,null,null,null,null,null
17-08-2020,null,null,null,null,null,null
18-08-2020,null,null,null,null,null,null
19-08-2020,null,null,null,null,null,null
20-08-2020,null,null,null,null,null,null
21-08-2020,null,null,null,null,null,null
22-08-2020,null,null,null,null,null,null
23-08-2020,null,null,null,null,null,null
24-08-2020,null,null,null,null,null,null
25-08-2020,null,null,null,null,null,null
26-08-2020,null,null,null,null,null,null
27-08-2020,null,null,null,null,null,null
28-08-2020,null,null,null,null,null,null
29-08-2020,null,null,null,null,null,null
30-08-2020,null,null,null,null,null,null
31-08-2020,null,null,null,null,null,null
01-09-2020,null,null,null,null,null,null
02-09-2020,null,null,null,null,null,null
03-09-2020,null,null,null,null,null,null
04-09-2020,null,null,null,null,null,null
05-09-2020,null,null,null,null,null,null
06-09-2020,null,null,null,null,null,null
07-09-2020,null,null,null,null,null,null
08-09-2020,null,null,null,null,null,null
09-09-2020,null,null,null,null,null,null
10-09-2020,null,null,null,null,null,null
11-09-2020,null,null,null,null,null,null
12-09-2020,null,null,null,null,null,null
13-09-2020,null,null,null,null,null,null
14-09-2020,null,null,null,null,null,null
15-09-2020,null,null,null,null,null,null
16-09-2020,null,null,null,null,null,null
17-09-2020,null,null,null,null,null,null
18-09-2020,null,null,null,null,null,null
19-09-2020,null,null,null,null,null,null
20-09-2020,null,null,null,null,null,null
21-09-2020,null,null,null,null,null,null
22-09-2020,4.986754,11.463443,4.12538,5.234632,5.234632,288098840
23-09-2020,5.321654,5.32931,3.982604,4.118469,4.118469,173091214
24-09-2020,3.817925,4.751878,3.539887,4.566561,4.566561,96110964
25-09-2020,4.614028,4.958673,4.240798,4.712279,4.712279,55854397
26-09-2020,4.713736,4.817752,4.376774,4.539249,4.539249,27304546
27-09-2020,4.535289,4.695472,4.138012,4.625536,4.625536,23243192
28-09-2020,4.636009,4.642367,4.204803,4.204803,4.204803,20624310
29-09-2020,4.205906,4.280641,3.970662,4.142951,4.142951,16706917
30-09-2020,4.143293,4.392278,4.015056,4.322546,4.322546,16932876
01-10-2020,4.324279,4.493292,4.059294,4.15109,4.15109,23903201
02-10-2020,4.149604,4.206492,3.693852,3.927156,3.927156,30467406
03-10-2020,3.925748,4.166156,3.880239,4.02166,4.02166,11967394
04-10-2020,4.022983,4.065016,3.855817,3.96111,3.96111,12949575
