Date,Open,High,Low,Close,Adj Close,Volume
17-09-2014,28443.32813,28542.22852,27552.5,27851.64063,27851.64063,1282359120
18-09-2014,27822.77344,27822.77344,25085.74023,25774.11914,25774.11914,2093992320
19-09-2014,25753.6543,25988.83594,23366.08789,24023.33594,24023.33594,2307413745
20-09-2014,24015.85156,25757.56055,23724.38086,24881.80859,24881.80859,2243150060
21-09-2014,24831.97266,25096.12109,23925.06445,24268.25781,24268.25781,1617399085
22-09-2014,24285.23633,24728.28516,24137.5625,24503.12109,24503.12109,1470094668
23-09-2014,24499.4668,26952.64063,24156.13086,26600.68164,26600.68164,2752873480
24-09-2014,26598.24219,26620.27734,25663.7832,25785.87891,25785.87891,1866145761
25-09-2014,25782.89453,25805.07227,25112.67188,25241.83398,25241.83398,1644527152
26-09-2014,25232.93945,25448.14648,24468.55078,24726.54297,24726.54297,1312113312
27-09-2014,24673.41406,24860.92969,24295.32422,24426.65234,24426.65234,918891402
28-09-2014,24423.6582,24518.17969,22886.6582,23060.8457,23060.8457,1443717162
29-09-2014,23045.37891,23707.81055,22864.8418,23108.11719,23108.11719,2000070947
30-09-2014,23146.33594,24211.25,22983.54883,23961.50781,23961.50781,2149249553
01-10-2014,23991.41797,24200.91992,23497.93359,23672.88086,23672.88086,1618616274
02-10-2014,23695.90039,23765.89063,22949.23242,23080.05469,23080.05469,1340090770
03-10-2014,23086.76367,23241.46289,22020.85352,22122.57031,22122.57031,1901505342
04-10-2014,22145.95508,22428.70703,20053.39453,20236.76953,20236.76953,2906698028
05-10-2014,20239.8457,21032.72461,17801.82813,19722.58398,19722.58398,5126363687
06-10-2014,19715.13672,21237.82031,18618.0293,20311.41211,20311.41211,4861991113
07-10-2014,20342.48828,20829.76563,19690.41406,20604.90234,20604.90234,3015461871
08-10-2014,20600.54883,21740.23242,20099.1582,21652.86914,21652.86914,3358072005
09-10-2014,21641.08984,23315.66797,21221.07617,22281.1875,22281.1875,5105452988
10-10-2014,22260.49609,22942.84766,21626.04297,22152.9043,22152.9043,2675397439
11-10-2014,22140.65039,22497.79297,21809.11719,22198.06055,22198.06055,817660404
12-10-2014,22216.86914,23247.86133,21820.94336,23193.69727,23193.69727,1075460056
13-10-2014,23155.21875,24228.80078,22591.25195,23813.30273,23813.30273,2148329293
14-10-2014,23891.25195,25169.15625,23868.80859,24607.4043,24607.4043,2362800727
15-10-2014,24612.62109,24632.38086,23858.56836,24227.21875,24227.21875,1550641927
16-10-2014,24211.57031,24474.78516,23068.7832,23611.35547,23611.35547,1665822800
17-10-2014,23623.70117,23649.07422,23063.90039,23543.55273,23543.55273,834402945
18-10-2014,23556.92773,24242.94336,23249.87109,24014.9668,24014.9668,700420680
19-10-2014,24003.43359,24168.1582,23709.13672,23898.64648,23898.64648,362858870
20-10-2014,23879.32031,23888.74414,23177.39258,23437.77148,23437.77148,1005171180
21-10-2014,23411.8125,24004.41211,23314.6582,23627.15039,23627.15039,867438401
22-10-2014,23605.32422,23703.13477,23395.54883,23443.52148,23443.52148,712272941
23-10-2014,23431.53125,23522.58203,21800.29883,21920.7832,21920.7832,1618104004
24-10-2014,21931.42578,22283.33984,21608.13281,21916.38086,21916.38086,953221412
25-10-2014,21932.64844,22009.09766,20970.35742,21239.09375,21239.09375,1108677900
26-10-2014,21252.30469,21969.95703,21034.82031,21693.69727,21693.69727,689426100
27-10-2014,21698.16211,21975.17578,21426.67578,21634.69727,21634.69727,798792570
28-10-2014,21648.54688,22079.61914,21640.38281,21876.56641,21876.56641,479956017
29-10-2014,21844.20508,21889.71875,20548.14063,20563.33789,20563.33789,1114757693
30-10-2014,20570.57031,21554.83008,20581.79688,21210.35938,21210.35938,1853677508
31-10-2014,21192.17773,21329.93945,20697.14648,20769.52734,20769.52734,770162106
01-11-2014,20789.72266,20905.07422,19709.56641,19997.73047,19997.73047,1023813308
02-11-2014,20017.74414,20200.37891,19683.23047,20006.50977,20006.50977,528176232
03-11-2014,19986.68164,20529.43359,19981.27734,20115.08984,20115.08984,795167385
